date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:02	9870/9870	---M--	200	added ('OK')	image/png	etag:%22268e-59b14ed4327c8%22	http://htmlbeans.com/html/montero/images/img18.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img18.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:02	9827/9827	---M--	200	added ('OK')	image/png	etag:%222663-59b14ed4df572%22	http://htmlbeans.com/html/montero/images/img20.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img20.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:06	3128/3128	---M--	200	added ('OK')	image/png	etag:%22c38-59b14ed6b31ec%22	http://htmlbeans.com/html/montero/images/logo2.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/logo2.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:06	1463/1463	---M--	200	added ('OK')	image/svg+xml	etag:%225b7-59c04c3ee4024%22	http://htmlbeans.com/html/montero/images/svg/puff.svg	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/svg/puff.svg	(from http://htmlbeans.com/html/montero/home.html)
11:00:06	34094/34094	---M--	200	added ('OK')	image/png	etag:%22852e-59b14ed5ac6bd%22	http://htmlbeans.com/html/montero/images/img22.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img22.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:07	11084/11084	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd49fa-2b4c%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	J:/freelance%20Works/websites/viva%20marketing/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:10	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043f8-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	J:/freelance%20Works/websites/viva%20marketing/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:10	34747/34747	---M--	200	added ('OK')	image/png	etag:%2287bb-59b14ed7c29bb%22	http://htmlbeans.com/html/montero/images/ovel2.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/ovel2.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:11	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	J:/freelance%20Works/websites/viva%20marketing/code.jquery.com/jquery-3.3.1.min.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:11	249006/249006	---M--	200	added ('OK')	image/png	etag:%223ccae-59b14ed093b73%22	http://htmlbeans.com/html/montero/images/img09.png	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/images/img09.png	(from http://htmlbeans.com/html/montero/home.html)
11:00:12	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	J:/freelance%20Works/websites/viva%20marketing/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:13	7707/7707	---M-Z	200	added ('OK')	application/javascript	etag:%221e1b-59b16ac9e0c7b-gzip%22	http://htmlbeans.com/html/montero/js/formValidator.js	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/js/formValidator.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:16	136025/136025	---M-Z	200	added ('OK')	application/javascript	etag:%2221359-59c04e899980a-gzip%22	http://htmlbeans.com/html/montero/js/jqueryCustom.js	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/js/jqueryCustom.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:25	67004/67004	---M--	200	added ('OK')	application/font-woff	etag:%22105bc-59b14ec7547ee%22	http://htmlbeans.com/html/montero/fonts/Flaticon.woff	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/fonts/Flaticon.woff	(from http://htmlbeans.com/html/montero/style.css)
11:00:31	520714/520714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2257d97c08-7f20a%22	https://code.jquery.com/ui/1.12.1/jquery-ui.js	J:/freelance%20Works/websites/viva%20marketing/code.jquery.com/ui/1.12.1/jquery-ui.js	(from http://htmlbeans.com/html/montero/home.html)
11:00:38	135268/135268	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221064-59b14ec406c7e%22	http://htmlbeans.com/html/montero/fonts/Flaticon.eot	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/fonts/Flaticon.eot	(from http://htmlbeans.com/html/montero/style.css)
11:00:42	1128693/1128693	---M--	200	added ('OK')	image/svg+xml	etag:%221138f5-59b14ec692283%22	http://htmlbeans.com/html/montero/fonts/Flaticon.svg	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/fonts/Flaticon.svg	(from http://htmlbeans.com/html/montero/style.css)
11:00:43	15802/15802	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Aug%202020%2005:30:38%20GMT	http://htmlbeans.com/html/montero/Flaticon.svg	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/Flaticon.32.delayed	(from http://htmlbeans.com/html/montero/style.css)
11:00:44	135268/135268	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2221064-59b14ec406c7e%22	http://htmlbeans.com/html/montero/fonts/Flaticon.eot?	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/fonts/Flaticond41d.eot	(from http://htmlbeans.com/html/montero/style.css)
11:00:46	135092/135092	---M--	200	added ('OK')	application/font-sfnt	etag:%2220fb4-59b14ec64dcbf%22	http://htmlbeans.com/html/montero/fonts/Flaticon.ttf	J:/freelance%20Works/websites/viva%20marketing/htmlbeans.com/html/montero/fonts/Flaticon.ttf	(from http://htmlbeans.com/html/montero/style.css)
